cik,file_date,total_word_count,H4N_Inf_Neg_count,Fin_Neg_Neg_count,pct_of_neg_words_H4N_Inf,pct_of_neg_words_Fin_Neg,tfidf_H4N_Inf,tfidf_Fin_Neg
0001593538,2018-05-03,19208,1149,453,0.059818825489379425,0.023583923365264475,6.073256102801959,5.88092521004309
0001593538,2017-10-27,18225,1080,435,0.05925925925925926,0.023868312757201648,6.301741652117133,6.2279519344071534
0001593538,2017-08-01,17546,1059,415,0.06035563661233329,0.02365211444203807,6.200253869416263,5.852192839204864
0001593538,2017-04-27,16054,1013,374,0.06309953905568706,0.02329637473526847,6.182103160728679,5.9627353044408276
0001593538,2016-11-07,18529,1089,426,0.058772734632198176,0.022990987101300663,6.0824234334256495,6.1455416381744215
0001593538,2016-07-25,17754,1090,402,0.061394615297961024,0.022642784724569112,5.965768461619147,5.846119558023042
0001593538,2016-04-28,15560,1027,374,0.06600257069408741,0.02403598971722365,5.963843993952624,5.945033860485436
0000002969,2021-11-18,58536,2426,819,0.04144458111247779,0.013991389913899139,6.723309367417064,7.939025960317464
0000002969,2020-11-19,60000,2644,850,0.044066666666666664,0.014166666666666666,6.5775891624805265,8.070305071912092
0000002969,2019-11-26,62717,2497,794,0.039813766602356616,0.012660044326099781,6.291732670347894,7.595437803826023
0000002969,2018-11-20,66331,2834,837,0.04272512098415522,0.012618534320302724,5.783919616509815,6.386140672920623
0000002969,2017-11-16,39223,2743,898,0.069933457410193,0.022894730132830228,6.329717820667733,6.3426925518290265
0000002969,2016-11-21,37921,2560,800,0.06750876822868596,0.02109649007146436,6.071432343721492,6.170556735736875
0000002969,2021-08-09,32618,913,236,0.027990679992642098,0.007235268869949108,5.034967902920977,5.142071053537666
0000002969,2021-05-10,31944,885,238,0.02770473328324568,0.007450538442273979,5.509067574337439,5.224056916316604
0000002969,2021-02-04,21507,621,160,0.02887431998884084,0.007439438322406658,6.0527831974983215,5.684807648133864
0000002969,2020-07-23,35210,1132,280,0.03214995739846634,0.007952286282306162,5.453507694935956,5.1533557112731785
0000002969,2020-04-23,34637,926,225,0.026734416952969367,0.00649594364408003,5.23920230449409,4.947227693371882
0000002969,2020-01-24,23523,656,137,0.02788759937082855,0.005824087063724865,5.494876345544656,5.1349257823102015
0000002969,2019-07-25,30677,894,178,0.029142354206734687,0.005802392672034423,4.7523682472169835,4.360347922567537
0000002969,2019-04-24,28619,815,164,0.02847758482127258,0.005730458786121108,4.915644840240368,4.4060458865432786
0000002969,2019-01-25,22093,711,138,0.03218213913909383,0.006246322364549858,4.816354554975438,4.7443913535728734
0000002969,2018-07-26,30120,1070,222,0.03552456839309429,0.007370517928286853,4.384123323305557,4.119727101294568
0000002969,2018-04-26,27266,888,165,0.03256803344825057,0.006051492701533045,4.203687835399525,4.053319209309909
0000002969,2018-01-26,20576,704,153,0.03421461897356143,0.007435847589424572,4.710751419819852,4.454513725027095
0000002969,2017-08-01,16665,1134,327,0.06804680468046805,0.019621962196219624,5.474706513543816,4.067272898954117
0000002969,2017-04-27,14131,916,248,0.06482202250371523,0.017550067228080106,5.038344047222935,3.854968105098406
0000002969,2017-01-27,10440,657,163,0.06293103448275862,0.01561302681992337,5.625683261972002,4.284795231974051
0000002969,2016-07-29,14152,992,247,0.07009609949123799,0.01745336348219333,4.724669662903294,4.294389364222521
0000002969,2016-04-28,13081,935,232,0.07147771577096552,0.01773564712177968,4.469481016361268,4.274932714133002
0000002969,2016-01-29,10019,647,154,0.06457730312406428,0.015370795488571714,5.137223439198939,5.350925760507215
0000820313,2021-02-10,53642,2048,578,0.03817903881287051,0.010775138883710525,6.275808116702336,9.155125321004665
0000820313,2020-02-12,47215,1790,458,0.03791168060997564,0.00970030710579265,5.695610199562207,9.006165415187603
0000820313,2019-02-13,31310,1724,426,0.055062280421590545,0.013605876716703928,5.219934720873358,8.976391684184243
0000820313,2018-02-21,26830,1485,338,0.055348490495713755,0.012597838240775252,4.948969487014713,7.570136142130528
0000820313,2017-02-17,24956,1215,299,0.048685686808783456,0.0119810867126142,6.173179463152481,7.424241290026873
0000820313,2016-02-19,23796,1212,297,0.050932929904185575,0.012481089258698942,5.956859621436944,7.330954293727814
