caldt,vwretd
20170505,0.004036
20170508,0.000120
20170509,-0.000840
20170510,0.001544
20170511,-0.001886
20170512,-0.001505
20170515,0.004893
20170516,-0.000532
20170517,-0.017765
20170518,0.003894
20170519,0.006803
20170522,0.005194
20170523,0.001866
20170524,0.002619
20170525,0.004637
20170526,0.000442
20170530,-0.001077
20170531,-0.000246
20170601,0.007790
20170602,0.003717
20170605,-0.001125
20170606,-0.002917
20170607,0.001804
20170608,0.000242
20170609,-0.001078
20170612,-0.000905
20170613,0.004788
20170614,-0.000869
20170615,-0.002126
20170616,-0.000004
20170619,0.008355
20170620,-0.006614
20170621,-0.000311
20170622,-0.000292
20170623,0.001557
20170626,0.000369
20170627,-0.008077
20170628,0.008989
20170629,-0.008639
20170630,0.001448
20170703,0.002172
20170705,0.001723
20170706,-0.008985
20170707,0.006416
20170710,0.000841
20170711,-0.000699
20170712,0.007441
20170713,0.001951
20170714,0.004780
20170717,-0.000049
20170718,0.000620
20170719,0.005406
20170720,-0.000002
20170721,-0.000323
20170724,-0.000930
20170725,0.002977
20170726,0.000368
20170727,-0.000869
20170728,-0.001417
20170731,-0.000852
20170801,0.002376
20170802,0.000468
20170803,-0.002013
20170804,0.001812
20170807,0.001753
20170808,-0.002295
20170809,-0.000307
20170810,-0.014158
20170811,0.001418
20170814,0.010084
20170815,-0.000278
20170816,0.001705
20170817,-0.015426
20170818,-0.001856
20170821,0.001212
20170822,0.009940
20170823,-0.003371
20170824,-0.002188
20170825,0.001694
20170828,0.000432
20170829,0.001033
20170830,0.004883
20170831,0.005670
20170901,0.002048
20170905,-0.007371
20170906,0.003125
20170907,0.000169
20170908,-0.001551
20170911,0.010761
20170912,0.003469
20170913,0.000841
20170914,-0.000843
20170915,0.001692
20170918,0.001348
20170919,0.001015
20170920,0.000675
20170921,-0.003020
20170922,0.000616
20170925,-0.002247
20170926,0.000224
20170927,0.004093
20170928,0.001397
20170929,0.003660
20171002,0.003852
20171003,0.002259
20171004,0.001291
20171005,0.005880
20171006,-0.000768
20171009,-0.001758
20171010,0.002565
20171011,0.001959
20171012,-0.001502
20171013,0.000898
20171016,0.001685
20171017,0.000645
20171018,0.000807
20171019,0.000345
20171020,0.005192
20171023,-0.003903
20171024,0.001649
20171025,-0.004605
20171026,0.001247
20171027,0.008374
20171030,-0.003219
20171031,0.001062
20171101,0.001601
20171102,0.000333
20171103,0.003278
20171106,0.001301
20171107,-0.000092
20171108,0.001637
20171109,-0.003541
20171110,-0.000429
20171113,0.001019
20171114,-0.002001
20171115,-0.005351
20171116,0.009226
20171117,-0.002675
20171120,0.001258
20171121,0.006422
20171122,-0.000617
20171124,0.002211
20171127,-0.000270
20171128,0.009686
20171129,-0.000280
20171130,0.008424
20171201,-0.002015
20171204,-0.001111
20171205,-0.003580
20171206,-0.000017
20171207,0.003135
20171208,0.005568
20171211,0.003180
20171212,0.001538
20171213,-0.000367
20171214,-0.003837
20171215,0.008871
20171218,0.005425
20171219,-0.003125
20171220,-0.000778
20171221,0.001918
20171222,-0.000401
20171226,-0.000854
20171227,0.000805
20171228,0.002006
20171229,-0.005153
20180102,0.008278
20180103,0.006439
20180104,0.004242
20180105,0.007046
20180108,0.001809
20180109,0.001561
20180110,-0.001224
20180111,0.007104
20180112,0.006827
20180116,-0.003477
20180117,0.009444
20180118,-0.001441
20180119,0.004494
20180122,0.008095
20180123,0.002332
20180124,-0.000505
20180125,0.000746
20180126,0.011833
20180129,-0.006455
20180130,-0.010750
20180131,0.000477
20180201,-0.000802
20180202,-0.020820
20180205,-0.040869
20180206,0.017497
20180207,-0.004850
20180208,-0.037319
20180209,0.014951
20180212,0.013963
20180213,0.002875
20180214,0.013778
20180215,0.012212
20180216,0.000438
20180220,-0.006364
20180221,-0.005479
20180222,0.001099
20180223,0.015958
20180226,0.011616
20180227,-0.012648
20180228,-0.010905
20180301,-0.013175
20180302,0.005148
20180305,0.011092
20180306,0.002668
20180307,-0.000412
20180308,0.004787
20180309,0.017286
20180312,-0.001205
20180313,-0.006243
20180314,-0.005415
20180315,-0.000838
20180316,0.001796
20180319,-0.014173
20180320,0.001355
20180321,-0.001780
20180322,-0.025057
20180323,-0.020962
20180326,0.027133
20180327,-0.017408
20180328,-0.002816
20180329,0.013847
20180402,-0.022603
20180403,0.012581
20180404,0.011639
20180405,0.007132
20180406,-0.021919
20180409,0.003559
20180410,0.016597
20180411,-0.005493
20180412,0.008280
20180413,-0.002918
20180416,0.008187
20180417,0.010819
20180418,0.000885
20180419,-0.005289
20180420,-0.008536
20180423,-0.000043
20180424,-0.013428
20180425,0.001845
20180426,0.010462
20180427,0.001203
20180430,-0.007996
20180501,0.002449
20180502,-0.007356
20180503,-0.002101
20180504,0.012933
20180507,0.003380
20180508,-0.000218
20180509,0.009503
20180510,0.009518
20180511,0.002117
20180514,0.000948
20180515,-0.006736
20180516,0.004428
20180517,-0.000679
20180518,-0.002632
20180521,0.007425
20180522,-0.003195
20180523,0.003406
20180524,-0.001959
20180525,-0.002170
20180529,-0.011460
20180530,0.012907
20180531,-0.006665
20180601,0.010939
20180604,0.004780
20180605,0.000749
20180606,0.008543
20180607,-0.000602
20180608,0.003144
20180611,0.001203
20180612,0.001816
20180613,-0.003889
20180614,0.002793
20180615,-0.000888
20180618,-0.002039
20180619,-0.003911
20180620,0.001668
20180621,-0.006173
20180622,0.001881
20180625,-0.013621
20180626,0.002200
20180627,-0.008635
20180628,0.006236
20180629,0.000819
20180702,0.003003
20180703,-0.004886
20180705,0.008779
20180706,0.008510
20180709,0.009223
20180710,0.003518
20180711,-0.006999
20180712,0.008888
20180713,0.001186
20180716,-0.000954
20180717,0.004152
20180718,0.001869
20180719,-0.003890
20180720,-0.000864
20180723,0.001797
20180724,0.004859
20180725,0.009146
20180726,-0.003051
20180727,-0.006494
20180730,-0.005769
20180731,0.004808
20180801,-0.001194
20180802,0.005090
20180803,0.004861
20180806,0.003469
20180807,0.002771
20180808,-0.000208
20180809,-0.001117
20180810,-0.006687
20180813,-0.003947
20180814,0.006620
20180815,-0.007539
20180816,0.008630
20180817,0.003340
20180820,0.002357
20180821,0.002052
20180822,-0.000295
20180823,-0.001718
20180824,0.006145
20180827,0.007753
20180828,0.000318
20180829,0.005908
20180830,-0.004273
20180831,0.000257
20180904,-0.001553
20180905,-0.002925
20180906,-0.003484
20180907,-0.002198
20180910,0.001961
20180911,0.003861
20180912,0.000385
20180913,0.005413
20180914,0.000355
20180917,-0.005691
20180918,0.005377
20180919,0.001158
20180920,0.007913
20180921,-0.000432
20180924,-0.003476
20180925,-0.001081
20180926,-0.003269
20180927,0.002975
20180928,-0.000004
20181001,0.003597
20181002,-0.000507
20181003,0.000547
20181004,-0.008027
20181005,-0.005596
20181008,-0.000374
20181009,-0.001132
20181010,-0.032810
20181011,-0.020409
20181012,0.014451
20181015,-0.005826
20181016,0.021537
20181017,-0.000107
20181018,-0.014414
20181019,-0.000223
20181022,-0.004162
20181023,-0.005335
20181024,-0.030793
20181025,0.018863
20181026,-0.017528
